db_id,db_name,dance_style,db_level,is_updated,scraped_name,scraped_level,step_count,comment_count,url,parsed_file_path
fe267681-2e1b-4925-9a60-df09f27a2543,Shoulder to Shoulder (Left Side and Right Side) Development,Rumba,Silver/Gold,Yes,Shoulder to Shoulder (Left Side and Right Side) Development,Newcomer,9,9,https://www.dancecentral.info/ballroom/international-style/rumba/shoulder-to-shoulder,docs/figures steps/parsed/chunk_2/rumba_shoulder-to-shoulder.json
79c2d603-aa71-4833-9119-b728bb926bb1,Side Steps (To Left or Right),Rumba,Silver/Gold,No,,,,,,
5d083b06-95bc-48f2-b620-e8a165df3a32,Sliding Doors,Rumba,Silver/Gold,Yes,Sliding Doors,Gold,12,7,https://www.dancecentral.info/ballroom/international-style/rumba/sliding-doors,docs/figures steps/parsed/chunk_2/rumba_sliding-doors.json
bd4d705e-4844-4be2-9d72-f6d8a9e79b3d,"Spiral Turns (Spiral, Curl and Rope Spinning)",Rumba,Silver/Gold,Yes,"Spiral Turns (Spiral, Curl and Rope Spinning)",Silver,10,5,https://www.dancecentral.info/ballroom/international-style/rumba/curl,docs/figures steps/parsed/chunk_2/rumba_curl.json
c80b3640-1509-4a43-8d68-ce4cd9fb4823,Spiral Turns Developments (Kiki Walks),Rumba,Silver/Gold,No,,,,,,
5eb935d3-fa50-4f4a-b39f-65dfdc4675ad,Spot Turns to L or R,Rumba,Silver/Gold,Yes,Spot Turns to L or R,Newcomer,8,0,https://www.dancecentral.info/ballroom/international-style/rumba/spot-turns,docs/figures steps/parsed/chunk_2/rumba_spot-turns.json
010561b8-78b8-48cf-a9c0-dfa9eb12a873,Syncopated Cuban Rocks,Rumba,Silver/Gold,No,,,,,,
8dfb4393-d4e7-40d3-b1b8-d258d2d4d55a,Syncopated Open Hip Twist,Rumba,Silver/Gold,No,,,,,,
610e8d8a-6157-4321-965d-9fa5b078f9e8,Three Alemanas,Rumba,Silver/Gold,Yes,Three Alemanas,Gold,6,11,https://www.dancecentral.info/ballroom/international-style/rumba/three-alemanas,docs/figures steps/parsed/chunk_2/rumba_three-alemanas.json
2f37240e-04c2-4617-90a2-695746d37b82,Three Threes,Rumba,Silver/Gold,Yes,Three Threes,Gold,28,31,https://www.dancecentral.info/ballroom/international-style/rumba/three-threes,docs/figures steps/parsed/chunk_2/rumba_three-threes.json
b77e5904-ef99-44e3-8307-316bf769a51b,Argentine Crosses,Samba,Silver/Gold,Yes,Argentine Crosses,Silver,10,0,https://www.dancecentral.info/ballroom/international-style/samba/argentine-crosses,docs/figures steps/parsed/chunk_2/samba_argentine-crosses.json
f67dda2b-5b7e-4da1-8f2f-74d8b83d63e6,Bota Fogos To PP and CPP (Promenade Botafogos),Samba,Newcomer/Bronze,Yes,Bota Fogos To PP and CPP (Promenade Botafogos),Bronze,6,3,https://www.dancecentral.info/ballroom/international-style/samba/bota-fogos-to-promenade-and-counter-promenade,docs/figures steps/parsed/chunk_1/samba_bota-fogos-to-promenade-and-counter-promenade.json
fe72e72c-463f-43cf-853e-d9205728ed73,Carioca Runs,Samba,Silver/Gold,No,,,,,,
316b8f4b-a465-4536-9d67-d5d4014cf3b8,Closed Rocks (on RF and LF),Samba,Newcomer/Bronze,Yes,Closed Rocks (on RF and LF),Bronze,12,7,https://www.dancecentral.info/ballroom/international-style/samba/closed-rocks,docs/figures steps/parsed/chunk_1/samba_closed-rocks.json
